prediction_date,execution_date,symbol,target_weight,realized_forward_return,predicted_class,realized_class,score,score_prob,class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_3_4_prob
2021-02-05,2021-02-08,VN:VIB,0.25,0.23173963744301918,4,4.0,0.29012761048877533,0.11508939475003971,0.25134828499445105,0.2023942157447769,0.14957207329890077,0.0974189408315797,0.2992664851302915,0.39668542596187123
2021-02-05,2021-02-08,VN:NKG,0.25,0.2402597402597404,4,4.0,0.2444261723097239,0.09505288542174531,0.26308410967761114,0.19465321012358056,0.1533808983358607,0.10069887190015805,0.28818290996278956,0.38888178186294764
2021-02-24,2021-02-25,VN:VIB,0.25,0.161850290989364,4,4.0,0.3798254440685834,0.15864111535230876,0.24584222389404975,0.19019376166597965,0.14629553585415042,0.09565089111739898,0.3220175874684212,0.4176684785858202
2021-02-24,2021-02-25,VN:SJS,0.25,-0.02676399026763987,4,0.0,0.3184238276003015,0.1290350411017085,0.25649410295118313,0.18873655655431332,0.14953885861084715,0.09777142779699394,0.3074590540866624,0.40523048188365635
2021-02-24,2021-02-25,VN:NKG,0.25,0.3374233128834354,4,4.0,0.30681992034345745,0.12333050299359356,0.25445273897726445,0.19216397691017356,0.15141947793095525,0.09900102166833016,0.3029627845132766,0.40196380618160676
2021-03-08,2021-03-09,VN:DCM,0.25,0.014925373134328401,4,1.0,0.38588213685681816,0.16182224796735112,0.24705240516130306,0.18657522559574727,0.14701569913257514,0.0957539187779761,0.32360275133239846,0.4193566701103746
2021-03-08,2021-03-09,VN:PTB,0.25,0.006330275229357696,4,1.0,0.31282459153587955,0.12622769427155237,0.2554047760830397,0.19218196404386975,0.1489037606620139,0.09735619494370062,0.306153304267376,0.40350949921107665
2021-03-08,2021-03-09,VN:PVD,0.25,-0.14980544747081703,4,0.0,0.310836523771286,0.12488908251760522,0.2561436891555786,0.19273795187473297,0.14933454990386963,0.09474478662014008,0.3070390224456787,0.4017838090658188
2021-03-18,2021-03-19,VN:VPB,0.25,0.013080801199073289,4,1.0,0.31705307488064355,0.12834599237046893,0.2562274298634018,0.18958002046376438,0.14938337878311606,0.0976697787989709,0.30713939209074687,0.4048091708897178
2021-03-18,2021-03-19,VN:NKG,0.25,0.06181015452538641,4,3.0,0.29533595371741095,0.11859662770234887,0.2660368065086245,0.18407483261767899,0.14832320698854917,0.09660553115155152,0.3049596227335958,0.4015651538851473
2021-03-18,2021-03-19,VN:VIB,0.25,0.16503978344680492,4,4.0,0.29533595371741095,0.11859662770234887,0.2660368065086245,0.18407483261767899,0.14832320698854917,0.09660553115155152,0.3049596227335958,0.4015651538851473
2021-03-30,2021-03-31,VN:LPB,0.25,0.07222457328255039,4,3.0,0.38588213685681816,0.16182224796735112,0.24705240516130306,0.18657522559574727,0.14701569913257514,0.0957539187779761,0.32360275133239846,0.4193566701103746
2021-03-30,2021-03-31,VN:NKG,0.25,0.0903225806451613,4,4.0,0.29533595371741095,0.11859662770234887,0.2660368065086245,0.18407483261767899,0.14832320698854917,0.09660553115155152,0.3049596227335958,0.4015651538851473
2021-03-30,2021-03-31,VN:SHB,0.25,0.10643591130340724,4,4.0,0.2866473730399422,0.1135830922538616,0.2579080539318339,0.19548199163323615,0.1503631964434146,0.09539740071884992,0.30084935727266543,0.3962467579915153
2021-04-09,2021-04-12,VN:LPB,0.25,0.1266469481043293,4,4.0,0.3794015070528467,0.1589470653529139,0.25191668802127337,0.18227156321428253,0.14687017262891708,0.0956591410484526,0.32328243508707444,0.41894157613552707
2021-04-09,2021-04-12,VN:VND,0.25,0.014206275717617567,4,1.0,0.3471281625758385,0.1424974138090235,0.2528901658521568,0.19113778783175667,0.14546829245286744,0.09373248973887428,0.3167712641243448,0.4105037538632191
2021-04-09,2021-04-12,VN:VPB,0.25,0.16525479814692257,4,4.0,0.31485344000379084,0.1265713140406858,0.25444981076643153,0.18826478439174915,0.15528467066161825,0.0969921783061001,0.305008555874101,0.4020007341802011
