prediction_date,execution_date,symbol,target_weight,realized_forward_return,predicted_class,realized_class,score,score_prob,class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_3_4_prob
2021-03-08,2021-03-09,VN:DCM,0.25,0.014925373134328401,4,1.0,0.3875364834459045,0.16276098840903885,0.24677429706339377,0.18637072383034484,0.14686616421637674,0.0962553216333086,0.3237334932565761,0.4199888148898847
2021-03-08,2021-03-09,VN:PTB,0.25,0.006330275229357696,4,1.0,0.3143268576687064,0.1270236721978759,0.25514468360584464,0.19198042011275573,0.14876156934528373,0.0978716679075981,0.30624165902851774,0.40411332693611585
2021-03-08,2021-03-09,VN:PVD,0.25,-0.14980544747081703,4,0.0,0.3123157718205136,0.12566511534387487,0.2558930237285273,0.19254350805687537,0.14919789246617177,0.09522569995541647,0.30713987579300905,0.4023655757484255
2021-03-18,2021-03-19,VN:VPB,0.25,0.013080801199073289,4,1.0,0.3185521310136357,0.12914500387364225,0.25596491265192367,0.1893828269655355,0.14923979786753053,0.09818630213100618,0.30722616038400413,0.4054124625150103
2021-03-18,2021-03-19,VN:NKG,0.25,0.06181015452538641,4,3.0,0.2966942331946098,0.11931393436218883,0.26583257911725144,0.18384902590175775,0.14817396137507174,0.09711244174344334,0.3050319918624757,0.40214443360591906
2021-03-18,2021-03-19,VN:VIB,0.25,0.16503978344680492,4,4.0,0.2966942331946098,0.11931393436218883,0.26583257911725144,0.18384902590175775,0.14817396137507174,0.09711244174344334,0.3050319918624757,0.40214443360591906
2021-03-30,2021-03-31,VN:LPB,0.25,0.07222457328255039,4,3.0,0.3875364834459045,0.16276098840903885,0.24677429706339377,0.18637072383034484,0.14686616421637674,0.0962553216333086,0.3237334932565761,0.4199888148898847
2021-03-30,2021-03-31,VN:NKG,0.25,0.0903225806451613,4,4.0,0.2966942331946098,0.11931393436218883,0.26583257911725144,0.18384902590175775,0.14817396137507174,0.09711244174344334,0.3050319918624757,0.40214443360591906
2021-03-30,2021-03-31,VN:SHB,0.25,0.10643591130340724,4,4.0,0.2877327842672584,0.11415568662270488,0.25769180443423695,0.19531950645624857,0.15024666712055604,0.09589508318744724,0.3008469388015112,0.39674202198895847
2021-04-09,2021-04-12,VN:LPB,0.25,0.1266469481043293,4,4.0,0.3810701760490212,0.15988929058899715,0.2516484223060545,0.18204883959816634,0.14672308941598103,0.09616154289004888,0.3234181057897492,0.41957964867979813
2021-04-09,2021-04-12,VN:VND,0.25,0.014206275717617567,4,1.0,0.34860015434921016,0.1433086217870988,0.2526664175490501,0.1909241704780485,0.14531199850606916,0.09421754023756893,0.3168798732292633,0.41109741346683226
2021-04-09,2021-04-12,VN:VPB,0.25,0.16525479814692257,4,4.0,0.3163442709769626,0.12736100983050674,0.2541908044680268,0.18807022413663732,0.15513642247867898,0.09750577135015853,0.30509677756649833,0.40260254891665687
